"author","display_name_alternatives","year"
Kola Abimbola,"[""Kola Abímbola"", ""Kólá Abímbólá"", ""Kola Abimbola"", ""Kọ́lá Abímbọ́lá"", ""K Abimbola""]",2002
Jonathan Doak,"[""Jonathan Doak"", ""J. Linward Doak"", ""J Doak""]",2021
Mary Iliadis,"[""Mary Iliadis""]",2021
Olivia Smith,"[""Olivia Smith"", ""Olivia C Smith"", ""O. Smith""]",2021
Rasmus H. Wandall,"[""Rasmus H. Wandall"", ""Rasmus Wandall"", ""Rasmus H Wandall""]",2015
Joanne Conaghan,"[""J Conaghan"", ""J. Conaghan"", ""Joanne Conaghan"", ""Joanne A F Conaghan""]",1987
Louise Chudleigh,"[""Louise Chudleigh""]",1987
John Flood,"[""J. Flood"", ""John C. H. Flood"", ""John Flood""]",2009
Marco Goldoni,"[""Goldoni Marco"", ""M. Goldoni"", ""Marco Goldoni""]",2017
Jiri Priban,"[""JIŘÍ PŘIBÁŇ"", ""Jirí Pribán"", ""Jiří Přiban"", ""Jiri Priban"", ""J. Priban"", ""Jiri Pribán"", ""Jiří Přibáň""]",2018
L. Graham,"[""Lewis Graham"", ""L Graham"", ""Lewis P. Graham"", ""L. Graham""]",2020
Huw Pritchard,"[""Pritchard Huw"", ""H. Pritchard"", ""Huw Pritchard""]",2020
Sarah Nason,"[""S.M. Nason"", ""Sarah Marie Nason"", ""Sarah Nason"", ""S Nason""]",2020
Rhiannon Craft,"[""R. P. Craft"", ""Rhiannon Craft""]",2020
Joseph Brooker,"[""Joseph Brooker"", ""J. R. E. Brooker"", ""J. Brooker""]",2004
David Cowan,"[""DS Cowan"", ""Dave Cowan"", ""D. L. Cowan"", ""David S Cowan"", ""D. Cowan"", ""David S. Cowan"", ""D. W. Cowan"", ""D. S. C. Cowan"", ""David Cowan"", ""D. S. Cowan"", ""David Cowan""]",2021
Barbara Hardy,"[""Barbara Hardy"", ""Barbara D Hardy""]",2021
Tasniem Anwar,"[""Tasniem Anwar""]",2021
Marieke de Goede,"[""Marieke De Goede"", ""Marieke Goede"", ""Marieke de Goede"", ""M. de Goede""]",2021
Anthony Bradney,"[""A. G. D. Bradney"", ""Anthony Bradney"", ""A. Bradney""]",2015
Brian Christopher Jones,"[""Brian P. Jones"", ""Brian C Jones"", ""Brian Jones"", ""B Jones"", ""B. C. Jones"", ""Brian Christopher Jones"", ""B C Jones"", ""B. Jones"", ""Brian C. Jones"", ""B.C. Jones""]",2015
James Davey,"[""J Davey"", ""James D Davey"", ""JAMES DAVEY"", ""J. Davey"", ""James Davey""]",2015
Cliona Kelly,"[""C. J. Kelly"", ""C. Kelly"", ""Cliona Kelly"", ""C Kelly""]",2015
Adèle G. van der Plas,"[""Adèle G. van der Plas""]",1990
Peter Mason,"[""Peter Mason"", ""Peter F. Mason""]",1990
Carol Jones,"[""Carol Adaire. Jones"", ""C Jones"", ""Carol A. G. Jones"", ""Carol A Jones"", ""Carol A G Jones"", ""Carol Jones"", ""C JONES"", ""C. jones"", ""C. A. Jones"", ""C.A. Jones"", ""Carol A. Jones"", ""C A Jones"", ""Carol Adaire Jones"", ""C. Jones"", ""Carol A.G. Jones""]",2013
John P. Heinz,"[""John P. Heinz"", ""John Heinz"", ""John P Heinz"", ""J. Heinz"", ""J. P. Heinz"", ""J Heinz""]",2011
John P. Heinz,"[""John P. Heinz"", ""John Heinz"", ""John P Heinz"", ""J. Heinz"", ""J. P. Heinz"", ""J Heinz""]",2011
Gerry A. Danby,"[""Gerry A. Danby""]",1985
John Rawles,"[""J.M. Rawles"", ""J.M Rawles"", ""John Michael Rawles"", ""JohnM. Rawles"", ""J. Rawles"", ""J M Rawles"", ""John M Rawles"", ""John M. Rawles"", ""J. M Rawles"", ""J. M. Rawles"", ""John Rawles"", ""J Rawles"", ""JohnM Rawles""]",1984
Jill Pellew,"[""Jill Pellew""]",1984
David Dixon,"[""DAVID DIXON"", ""David D. Dixon"", ""D.D. Dixon"", ""D. Dixon"", ""David Duff Dixon"", ""David Dixon"", ""D Dixon"", ""D D Dixon"", ""D. D. Dixon"", ""David D Dixon""]",1984
George Zdenkowski,"[""G Zdenkowski"", ""George Zdenkowski""]",1983
Thomas J. Mathiesen,"[""Thomas J. Mathiesen"", ""T Mathiesen"", ""Thomas Mathiesen"", ""T. Mathiesen""]",1983
David Brown,"[""David B Brown"", ""David B. Brown"", ""D.B. Brown"", ""David A. Maughan Brown"", ""David Brown"", ""David B. Michael S. Brown"", ""D Brown"", ""David Bentley Brown"", ""D. B. Brown"", ""D. Brown""]",1983
Neil Hawke,"[""Neil Hawke"", ""N. Hawke""]",1991
John Eekelaar,"[""J. Eekelaar"", ""J Eekelaar"", ""J. M. Eekelaar"", ""John Eekelaar"", ""John M. Eekelaar""]",1988
Steven Greer,"[""Stallergenes Greer"", ""S. Greer"", ""Steven Greer"", ""S Greer"", ""S GREER"", ""Steven C Greer""]",1995
RP Young,"[""RP Young"", ""R.A. Young"", ""R Young"", ""R. Young""]",1995
Andrew Ashworth,"[""A J Ashworth"", ""Andrew J. Ashworth"", ""Andrew John Ashworth"", ""A Ashworth"", ""Ashworth Andrew"", ""A. J. Ashworth"", ""Andrew Ashworth"", ""Andrew J Ashworth"", ""A. Ashworth""]",1995
Adrian Saunders,"[""A. Saunders"", ""Adrian Saunders"", ""Adrian D Saunders""]",1995
S. C. Smith,"[""Sheldon Smith"", ""S. C. Smith""]",1990
David Campbell,"[""David Campbell"", ""David G. Campbell"", ""David G Campbell"", ""D. Campbell"", ""D Campbell"", ""D CAMPBELL"", ""David Griffiths Campbell"", ""D.G. Campbell""]",1996
Frank Pearce,"[""F.T. Pearce"", ""F. Pearce"", ""FRANK PEARCE"", ""Frank Pearce"", ""F Pearce""]",1996
Anthony Bradney,"[""A. G. D. Bradney"", ""Anthony Bradney"", ""A. Bradney""]",2016
Linda McDowell,"[""L McDOWELL"", ""Linda M. McDowell"", ""Linda McDowell"", ""L. McDowell"", ""Linda Mcdowell"", ""L Mcdowell"", ""Linda M McDowell"", ""L M McDowell"", ""LINDA MCDOWELL"", ""L McDowell"", ""LINDA McDOWELL"", ""Linda McDOWELL""]",2016
Sally Wheeler,"[""S Wheeler"", ""Sally Padgett. Wheeler"", ""Sally Wheeler"", ""Sally Padgett Wheeler""]",2018
Hilary Sommerlad,"[""H. Sommerlad"", ""Hilary Sommerlad"", ""H Sommerlad""]",2019
James Allan,"[""James. Allan"", ""James F. P. Allan"", ""J. Allan"", ""J Allan"", ""James P. Allan"", ""J. F. P. Allan"", ""James F.P. Allan"", ""James Plunkett Allan"", ""James Allan"", ""James F. Allan""]",2019
David Campbell,"[""David A. Campbell"", ""David A Campbell"", ""David Alexander. Campbell"", ""D. A. Campbell"", ""D. Campbell"", ""D A Campbell"", ""D. A. S. Campbell"", ""David Campbell"", ""D.A. Campbell""]",2019
Peter Alldridge,"[""Peter W. Alldridge"", ""P Alldridge"", ""P. W. Alldridge"", ""Peter Alldridge""]",2019
Ambreena Manji,"[""Ambreena S. Manji"", ""Ambreena S Manji"", ""Ambreena Manji"", ""AMBREENA MANJI"", ""A. Manji""]",2019
Steven Greer,"[""Stallergenes Greer"", ""S. Greer"", ""Steven Greer"", ""S Greer"", ""S GREER"", ""Steven C Greer""]",1988
John Stalker,"[""John Stalker"", ""John G Stalker"", ""John G. Stalker""]",1988
Patrick O'Callaghan,"[""P. O’Callaghan"", ""Patrick H. O’Callaghan"", ""Patrick H. O'Callaghan"", ""P. O'Callaghan"", ""Patrick OCallaghan"", ""P O'Callaghan"", ""Patrick H. D. O'Callaghan"", ""Patrick O'Callaghan"", ""Patrick O’Callaghan"", ""Patrick O'callaghan""]",2016
Sylvia de Mars,"[""Sylvia De Mars"", ""S Mars"", ""S. Mars"", ""Sylvia de Mars""]",2016
Sylvia de Mars,"[""Sylvia De Mars"", ""S Mars"", ""S. Mars"", ""Sylvia de Mars""]",2016
N. E. Simmonds,"[""N. E Simmonds"", ""N. E. Simmonds"", ""Nigel E. Simmonds"", ""N E Simmonds"", ""Nigel E Simmonds"", ""Nigel Simmonds"", ""N.E. Simmonds""]",1985
Judith Masson,"[""Judith M. Masson"", ""Judith Masson"", ""J Masson"", ""Judith M Masson""]",1992
David Campbell,"[""David A. Campbell"", ""David A Campbell"", ""David Alexander. Campbell"", ""D. A. Campbell"", ""D. Campbell"", ""D A Campbell"", ""D. A. S. Campbell"", ""David Campbell"", ""D.A. Campbell""]",1994
Elizabeth Kingdom,"[""Elizabeth Kingdom"", ""E. Kingdom"", ""E Orji Kingdom""]",1988
Samantha Fairclough,"[""Samantha Fairclough""]",2018
Dinesha Samararatne,"[""Dinesha Samararatne"", ""Dinesha W Samararatne"", ""Dinesha W.V.A. Samararatne""]",2020
Dinesha Samararatne,"[""Dinesha Samararatne"", ""Dinesha W Samararatne"", ""Dinesha W.V.A. Samararatne""]",2020
Mark Aspinwall,"[""M.D. Aspinwall"", ""M. D. Aspinwall"", ""M D Aspinwall"", ""Mark Aspinwall"", ""Mark D. Aspinwall"", ""M Aspinwall"", ""Mark. Aspinwall"", ""Mark Dean Aspinwall""]",2021
Tony Bunyan,"[""Tony Bunyan"", ""T. Bunyan""]",1985
Gunther Teubner,"[""G. C. M. Teubner"", ""G Teubner"", ""Gunther Teubner"", ""GUNTHER TEUBNER"", ""G. Teubner"", ""Günther Teubner""]",2018
Rita de la Feria,"[""R de la Feria"", ""R De La Feria"", ""R de La Feria"", ""Rita de la Feria"", ""Rita De la Feria""]",2020
Christine Bell,"[""C Bell"", ""Christine Bell"", ""Christine E. Bell"", ""C.E. Bell"", ""C. Bell"", ""C. BELL"", ""Christine E Bell"", ""Christine Elizabeth Bell"", ""C. E. Bell""]",2005
Johanna Keenan,"[""Johanna Keenan""]",2005
Jessica M. Silbey,"[""Jessica Silbey"", ""Jessica M Silbey"", ""Jessica M. Silbey"", ""Jessica Margaret Silbey""]",2001
Sarah Blandy,"[""Sarah Blandy"", ""S Blandy"", ""S. Blandy""]",2001
David Robinson,"[""D B Robinson"", ""D Robinson"", ""D. B. Robinson"", ""David B Robinson"", ""David B. Robinson"", ""D. Robinson"", ""David Β. Robinson"", ""David Bt. Robinson"", ""Dave Robinson"", ""David Robinson"", ""DAVID ROBINSON"", ""David B T Robinson""]",2001
Agnes Fletcher,"[""A Fletcher"", ""Agnes Fletcher""]",2008
Nick O'Brien,"[""Nick O’Brien"", ""N O'Brien"", ""Nick O'brien"", ""Nick O'Brien""]",2008
Adrian James,"[""Adrian James"", ""Adrian L James"", ""Adrian L. James"", ""A. James"", ""A James"", ""A L James"", ""Adrian Lewis James"", ""A. L. James""]",1992
Sheila Duncan,"[""Sheila Duncan"", ""SHEILA DUNCAN""]",1995
Máiréad Enright,"[""Máiréad Enright"", ""Mairead Enright"", ""MÁIRÉAD ENRIGHT""]",2017
Emilie Cloatre,"[""E Cloatre"", ""Emilie Cloatre"", ""EMILIE CLOATRE""]",2017
Bogumila Puchalska,"[""Bogumila Puchalska""]",1999
José Antonio Noguera,"[""Jose Noguera"", ""José A Noguera"", ""José A. Noguera"", ""José A Velasco NoGuera"", ""Jose A. Noguera"", ""Jose Antonio Noguera"", ""José Antonio Noguera"", ""J Noguera"", ""J. A. NOGUERA"", ""J. A. Noguera"", ""Jose A Noguera"", ""J.A. Noguera"", ""J. Noguera""]",2014
Jordi Tena-Sánchez,"[""Jordi Tena-Sánchez"", ""Jordi Tena‐Sánchez"", ""Jordi Tena-Sanchez""]",2014
Francisco José León,"[""Francisco José León"", ""Francisco J. González Duran de León"", ""Francisco J León"", ""Francisco Leon"", ""Francisco J. León""]",2014
Charlotte Villiers,"[""C. Villiers"", ""C L de Villiers"", ""Charlotte Villiers"", ""C. de Villiers"", ""Charlotte L Villiers"", ""Charlotte Louise Villiers"", ""C Villiers"", ""CL Villiers""]",2014
Steve Redhead,"[""Steve Redhead"", ""S.C. Redhead"", ""Stephen Redhead"", ""STEVE REDHEAD"", ""S. C. Redhead"", ""S. Redhead""]",2007
Ambreena Manji,"[""Ambreena S. Manji"", ""Ambreena S Manji"", ""Ambreena Manji"", ""AMBREENA MANJI"", ""A. Manji""]",2014
Philip Larkin,"[""Philip Larkin"", ""Philip M. Larkin"", ""P Larkin""]",2007
Neil Gunningham,"[""Neil Anthony Gunningham"", ""Neil Gunningham"", ""N. Gunningham"", ""N Gunningham"", ""Neil A. Gunningham""]",1999
W. G. Carson,"[""W Carson"", ""William Carson"", ""William Glasgow Bruce Carson"", ""W.G Carson"", ""W. G. Carson"", ""William G. Carson"", ""W. Carson"", ""W G Carson"", ""William G Carson"", ""W.G. Carson"", ""William G. B. Carson""]",1982
Neil Gunningham,"[""Neil Anthony Gunningham"", ""Neil Gunningham"", ""N. Gunningham"", ""N Gunningham"", ""Neil A. Gunningham""]",1982
Victoria Wass,"[""Victoria Wass"", ""Victoria Jane Wass"", ""Victoria J. Wass"", ""V. J. Wass""]",2002
Victoria Wass,"[""Victoria Wass"", ""Victoria Jane Wass"", ""Victoria J. Wass"", ""V. J. Wass""]",2002
Richard Kurt Lewis,"[""Roger Lewis"", ""RR Lewis"", ""R R Lewis"", ""Richard K. Lewis"", ""Richard Lewis"", ""RICHARD LEWIS"", ""Roger R. Lewis"", ""R. Lewis"", ""R.R. Lewis"", ""R. K. Lewis"", ""R.R Lewis"", ""R K Lewis"", ""Richard Kurt Lewis"", ""Richard K Lewis"", ""R. Roberts Lewis"", ""R Lewis"", ""R. R. Lewis"", ""Roger R Lewis""]",2002
Richard Kurt Lewis,"[""Roger Lewis"", ""RR Lewis"", ""R R Lewis"", ""Richard K. Lewis"", ""Richard Lewis"", ""RICHARD LEWIS"", ""Roger R. Lewis"", ""R. Lewis"", ""R.R. Lewis"", ""R. K. Lewis"", ""R.R Lewis"", ""R K Lewis"", ""Richard Kurt Lewis"", ""Richard K Lewis"", ""R. Roberts Lewis"", ""R Lewis"", ""R. R. Lewis"", ""Roger R Lewis""]",2002
Robert McNabb,"[""R McNabb"", ""Robert McNABB"", ""Robert Mcnabb"", ""Robert McNabb"", ""Robert W. McNabb"", ""R. McNabb""]",2002
Robert McNabb,"[""R McNabb"", ""Robert McNABB"", ""Robert Mcnabb"", ""Robert McNabb"", ""Robert W. McNabb"", ""R. McNabb""]",2002
Helen Robinson,"[""Holly Katherine Robinson"", ""Holly Robinson"", ""H. Robinson"", ""Helen Robinson"", ""H. L. Robinson""]",2002
Helen Robinson,"[""Holly Katherine Robinson"", ""Holly Robinson"", ""H. Robinson"", ""Helen Robinson"", ""H. L. Robinson""]",2002
Lisa Webley,"[""L. Webley"", ""Lisa Webley"", ""Lisa C Webley"", ""Lisa C. Webley""]",2007
Liz Duff,"[""Liz Duff"", ""L E Duff"", ""L. Duff""]",2007
R. Andrew Worthington,"[""R. Andrew Worthington"", ""Ross Worthington""]",2001
Julian Webb,"[""J Webb"", ""Jeb Webb"", ""Julian Webb"", ""Julian S. Webb"", ""J. K. Park and B. K. Webb"", ""J. Webb""]",1998
Paddy Hillyard,"[""P. A. R. Hillyard"", ""P.A. Hillyard"", ""P Hillyard"", ""P. Hillyard"", ""P.A.R. Hillyard"", ""Paddy Hillyard""]",2000
Mike Tomlinson,"[""M.W. Tomlinson"", ""Mike Tomlinson"", ""M Tomlinson""]",2000
Mike Tomlinson,"[""M.W. Tomlinson"", ""Mike Tomlinson"", ""M Tomlinson""]",2000
Harry W. Arthurs,"[""Harry Arthurs"", ""H. Arthurs"", ""H.W. Arthurs"", ""H. W. Arthurs"", ""Harry W. Arthurs""]",1998
Nigel J. Balmer,"[""Nigel Balmer"", ""N Balmer"", ""Nigel John Balmer"", ""Nigel J. Balmer"", ""N J Balmer"", ""Nigel J Balmer"", ""N. J. Balmer"", ""N.J. Balmer"", ""NJ Balmer""]",2003
Alexy Buck,"[""Alexy Buck"", ""A. Buck"", ""A.E. Buck"", ""A Buck""]",2003
Hazel Genn,"[""H. Genn"", ""Hazel G. Genn"", ""H. G. Genn"", ""H Genn"", ""Hazel Genn""]",2003
Pascoe Pleasance,"[""Pascoe Pleasance""]",2003
Aoife O'Grady,"[""Aoife O'Grady"", ""A. O'grady"", ""A O'Grady""]",2003
Andrew Murray,"[""Andrew Murray"", ""Andrew D Murray"", ""Andrew Douglas Murray"", ""A. D. Murray"", ""Andrew D. Murray"", ""A.D. Murray"", ""A. Murray""]",1999
D. Vick,"[""D W Vick"", ""Douglas Vick"", ""Douglas W. Vick"", ""D. Vick"", ""Douglas W Vick"", ""Doug Vick"", ""D Vick"", ""Doug W. Vick""]",1999
Kevin Campbell,"[""Kevin Louis Campbell"", ""K.L.I. Campbell"", ""Kevin Campbell"", ""K. Campbell"", ""Kevin. Campbell"", ""K Campbell""]",1999
Gavin Little,"[""Gavin Mcleod Little"", ""Gavin Little"", ""Gavin McLeod Little"", ""Gavin F. Little"", ""G. F. Little"", ""Gavin Forbes MacLeod Little"", ""Gavin F. M. Little"", ""G Little"", ""Gavin F M Little"", ""Gavin Little""]",1999
Lynette J. Chua,"[""Lynette Chua"", ""Lynette J Chua"", ""Laiyi Chua"", ""Lynette J. Chua"", ""L.Y. Chua"", ""L Chua"", ""Lynette J. CHUA"", ""Lynette Janice Chua"", ""L. Chua"", ""Louis Chua""]",2017
Marina Nehme,"[""Marina Nehme"", ""MARINA NEHME"", ""M. Nehme"", ""M Nehme""]",2018
Daniel Monk,"[""Daniel Monk"", ""D Monk"", ""Daniel Bertrand Monk""]",2005
Marie Fox,"[""Marie Fox"", ""M W Fox"", ""M. Fox"", ""M Fox""]",2007
Sheila A.M. McLean,"[""S.A. McLEAN"", ""Sara McLean"", ""Sheila Mclean"", ""S A M McLean"", ""Sheila A. M. McLean"", ""S.A. McLean"", ""Sheila AM McLean"", ""Sheila A. McLean"", ""Steven McLean"", ""S. McLEAN"", ""Sheila A M McLean"", ""S. A. Mclean"", ""Sheila A.M. Mclean"", ""Sheila A. M. Mclean"", ""S. A. M. McLean"", ""Steven Mclean"", ""S. A. M. Mclean"", ""Sheila A.M. McLean"", ""Sara Mclean"", ""S. A. McLEAN"", ""S.A.M. McLean"", ""S Mclean"", ""Sheila Am McLean"", ""Sheila McLean"", ""S. J. McLean"", ""Steve McLean"", ""S. McLean"", ""Sheila A. Mclean"", ""Sheila A M. McLean"", ""S McLean"", ""S. A. McLean"", ""Shelia McLean"", ""S A McLean"", ""Sara McLean""]",2007
Laura Williamson,"[""Laura M. Williamson"", ""L Williamson"", ""Laura M Williamson"", ""Laura Williamson"", ""L. M. Williamson"", ""L.M. Williamson"", ""L. Matthew K. Williamson"", ""L. Williamson""]",2007
Laura Williamson,"[""Laura M. Williamson"", ""L Williamson"", ""Laura M Williamson"", ""Laura Williamson"", ""L. M. Williamson"", ""L.M. Williamson"", ""L. Matthew K. Williamson"", ""L. Williamson""]",2007
Julie Macfarlane,"[""Julie MacFarlane"", ""J Macfarlane"", ""J. Macfarlane"", ""Julie Macfarlane"", ""J. S. Macfarlane""]",1997
Phil Fennell,"[""Philip Fennell"", ""P. Fennell"", ""Phil Fennell"", ""P. W. H. Fennell"", ""Philip W. H. Fennell"", ""P Fennell"", ""Philip William Hugh Fennell""]",1986
Emily Reid,"[""E. Shelley Reid"", ""E. S. Reid"", ""Emily Reid""]",2009
Jenny Steele,"[""J. T. Steele"", ""J Steele"", ""J. T Steele"", ""Jenny Steele""]",2009
Michelle LeBaron,"[""Michelle Lebaron"", ""M.D. George I. Lebaron"", ""Michelle LeBaron""]",2016
Anne Quéma,"[""Anne Quema"", ""Anne Quéma""]",2016
Angela Condello,"[""A. Condello"", ""Angela Condello""]",2016
David Burnet,"[""D. A. Burnet"", ""David Adam Burnet"", ""David Burnet""]",1989
Richard Thomas,"[""R Pegram Thomas"", ""Robert W.L. Thomas"", ""R. W. Thomas"", ""R.W.L. Thomas"", ""Richard P. W. Thomas"", ""Robert Thomas"", ""R. W. L. Thomas"", ""Rob Thomas"", ""Robert W Thomas"", ""R.W. Thomas"", ""R Thomas"", ""Robert W. L. Thomas"", ""R Wolf Thomas"", ""Richard Thomas"", ""R.P. Thomas"", ""Robert W. Thomas"", ""R. P. Thomas"", ""R W Thomas"", ""Richard P Thomas"", ""R. Thomas"", ""R W L Thomas"", ""Richard P. Thomas""]",1989
Nick O'Brien,"[""Nick O’Brien"", ""N O'Brien"", ""Nick O'brien"", ""Nick O'Brien""]",2016
Sundeep Aulakh,"[""Sundeep Aulakh"", ""S. Aulakh"", ""Sundeep. Aulakh""]",2017
Joan Loughrey,"[""Joan Loughrey"", ""Joan M Loughrey"", ""J Loughrey""]",2017
Luke McDonagh,"[""Luke McDonagh"", ""L McDonagh"", ""Luke T. Mcdonagh"", ""L. McDonagh"", ""Luke Mcdonagh"", ""Luke Thomas McDonagh"", ""Luke T. McDonagh""]",2015
Luke McDonagh,"[""Luke McDonagh"", ""L McDonagh"", ""Luke T. Mcdonagh"", ""L. McDonagh"", ""Luke Mcdonagh"", ""Luke Thomas McDonagh"", ""Luke T. McDonagh""]",2015
Robert E. Jupe,"[""Robert E. Jupe"", ""Robert Jupe""]",2007
Sammy Adelman,"[""Sammy Adelman""]",1988
Alan Norrie,"[""Alan W. Norrie"", ""ALAN NORRIE"", ""Alan W Norrie"", ""A Norrie"", ""Alan Norrie"", ""A. W. Norrie""]",1988
Hugh Collins,"[""Hazel Collins"", ""H. COLLINS"", ""H Collins"", ""H. Collins"", ""H. G. Collins"", ""Hugh Collins"", ""Hazel A. Collins"", ""HUGH COLLINS""]",1987
Valerio Pocar,"[""Valerio Pocar"", ""Pocar Valerio"", ""V Pocar""]",1992
Kim Economides,"[""K. Economides"", ""K Economides"", ""Kim Economides"", ""Kim M. Economides"", ""KIM ECONOMIDES""]",1992
Peter Jones,"[""Peter D. Jones"", ""Phil Mike Jones"", ""Phil jones"", ""P. M. E. Jones"", ""Peter D Jones"", ""Phil Jones"", ""P M Jones"", ""Peter d'Alroy Jones"", ""P Jones"", ""P.D. Jones"", ""P. M. Jones"", ""P.M. Jones"", ""P.D Jones"", ""P M JONES"", ""P. D. Jones"", ""Peter Jones"", ""P. Jones""]",1987
Paul Hirst,"[""P. Q. Hirst"", ""PAUL HIRST"", ""Hirst Paul"", ""Paul Q.Hirst"", ""Paul Hirst"", ""Paul Q. Hirst"", ""P. Hirst""]",1987
Rachel E. Stern,"[""R. Stern"", ""Rachel Stern"", ""Rachel E. Stern""]",2016
Pablo E. Martínez López,"[""Pablo Lopez"", ""Pablo E. Martínez Lopez"", ""Pablo E. Martínez López"", ""P.E. Martinez Lopez"", ""Pablo J López"", ""Pablo Javier Pérez López"", ""Pablo Martínez López"", ""Pablo J. López"", ""Pablo Javier Perez Lopez"", ""Pablo E. Martinez Lopez"", ""Pablo E. Martınez López"", ""Pablo López""]",2017
Cecilia Nahón,"[""Cecilia Nahón"", ""Cecilia Nahon""]",2017
Louise Anderson,"[""Louise Anderson"", ""L. Anderson"", ""L. John Anderson""]",2003
Roger Cotterrell,"[""Roger Cotterrell"", ""Roger B. M. Cotterrell"", ""Roger B.M. Cotterrell"", ""R Cotterrell"", ""ROGER COTTERRELL""]",2013
Ambreena Manji,"[""Ambreena S. Manji"", ""Ambreena S Manji"", ""Ambreena Manji"", ""AMBREENA MANJI"", ""A. Manji""]",2000
James Hand,"[""James Hand"", ""James Anthony Hand""]",2010
Allan D. Thomson,"[""A.D. Thomson"", ""Allan David Thomson"", ""A Thomson"", ""Allan D. Thomson"", ""Allan D Thomson"", ""Alexandra Thomson"", ""A D Thomson"", ""A. D. Thomson"", ""A. Thomson"", ""A.E. Thomson"", ""Allan Thomson"", ""Alan Thomson"", ""ALLAN D. THOMSON""]",1987
Neville Harris,"[""Neville S Harris"", ""N. Harris"", ""Neville Harris"", ""Neville S. Harris"", ""N Harris""]",2010
Sharyn Roach Anleu,"[""Sharyn Roach Anleu"", ""Sharyn Anleu"", ""Sharyn Leanne Roach Anleu"", ""Roach Anleu"", ""SHARYN ROACH ANLEU"", ""Sharyn L Roach Anleu"", ""Sharyn L. Roach Anleu""]",1992
Wendy Addison,"[""W. G. C. Addison"", ""Wendy Addison""]",1992
Fiona Cownie,"[""F. Cownie"", ""Fiona Cownie""]",1992
Emilie Cloatre,"[""E Cloatre"", ""Emilie Cloatre"", ""EMILIE CLOATRE""]",2018
Fleur Johns,"[""Fleur E Johns"", ""Fleur E. Johns"", ""F. Johns"", ""F Johns"", ""Fleur Johns""]",2007
David Cowan,"[""DS Cowan"", ""Dave Cowan"", ""D. L. Cowan"", ""David S Cowan"", ""D. Cowan"", ""David S. Cowan"", ""D. W. Cowan"", ""D. S. C. Cowan"", ""David Cowan"", ""D. S. Cowan"", ""David Cowan""]",2016
Helen Carr,"[""Carr Helen"", ""Helen Carr"", ""Helen P. Carr"", ""H. Carr"", ""H Carr"", ""Helen P Carr"", ""Helen Cooke Carr"", ""Helen Sorayya Carr""]",2016
Joseph Spooner,"[""Joseph Spooner""]",2017
Mona Lilja,"[""Mona Lilja""]",2017
Mikael Baaz,"[""MIkael Baaz"", ""Baaz Mikael"", ""Mikael Baaz""]",2017
Allison Östlund,"[""Allison Östlund"", ""Allison Britt Östlund""]",2017
Willem de Lint,"[""Willem Bart de Lint"", ""Willem Bart De Lint"", ""Willem De Lint"", ""Willem de Lint""]",2017
Wondwossen Demissie Kassa,"[""Wondwossen Kassa"", ""Wondwossen Demissie Kassa""]",2017
Sharon Thompson,"[""S.A.S Thompson"", ""S. A. Thompson"", ""S Thompson"", ""Sharon Thompson""]",2018
Linda Mulcahy,"[""L. Mulcahy"", ""L.J. Mulcahy"", ""Linda J Mulcahy"", ""Linda Mulcahy"", ""LINDA MULCAHY"", ""L Mulcahy""]",2015
David Sugarman,"[""David B. Sugarman"", ""David Sugarman"", ""D. Sugarman""]",2015
Michel Coutu,"[""Michel Coutu""]",2013
Jo Samanta,"[""J. Samanta"", ""Jo Samanta"", ""JO Samanta"", ""J Samanta""]",2012
Robert G. Lee,"[""Robert G. Lee"", ""Robert G Lee""]",2007
Alexandra Franklin,"[""A. J. Franklin"", ""A. Franklin"", ""Alexandra Franklin"", ""Alex Franklin"", ""Alexandra Franklin""]",2007
Andrew Francis,"[""A Francis"", ""Andrew M. Francis"", ""Andrew Milne Francis"", ""Andrew Francis"", ""A. Francis"", ""Andrew M Francis""]",2009
Iain McDonald,"[""I. Mcdonald"", ""Iain McDONALD"", ""I {McDonald}"", ""Iain W. McDonald"", ""Iain McDonald"", ""Iain Mcdonald"", ""I. McDonald"", ""I McDonald""]",2009
Pat O'Malley,"[""Pat O’malley"", ""Pat O'malley"", ""P. O'Malley"", ""Pat. O'Malley"", ""Pat O’Malley"", ""Pat O'Malley""]",1984
John Flood,"[""John Flood"", ""John T Flood"", ""Flood John"", ""John A. Flood"", ""JOHN FLOOD"", ""John A Flood"", ""J Flood"", ""J A Flood"", ""John Anthony Flood""]",2023
BENJAMIN WEIL,"[""BENJAMIN WEIL""]",2023
Steven Vaughan,"[""Steven Vaughan"", ""S. S. Vaughan"", ""Vaughan Stephen"", ""S Vaughan"", ""STEVEN VAUGHAN"", ""Stephen Vaughan"", ""S. Vaughan"", ""Stephen D. Vaughan"", ""Stephen D Vaughan""]",2023
